OBJECTID,DISTRICT,SAA,acres,SearchName,squarefeet,Shape_Length,Shape_Area
1,Stanton Co.,"8; 34; 37; 46-A; 106-A; 170-77-A; 312-A; 398; 411-EX-A1",275601.25545108,Stanton Co.,12074531952.0104,216659.296326315,2028895886.7962
2,Stromsburg,"2; 2-08; 194-A; 38-02-A-EX-A3",2719.79903175,Stromsburg,118474445.822955,23222.8824319636,19421396.0646322
3,Southern PPD,"7; 7-99-A-EX-A1; 7-01-A-EX-A2; 7-99-A-EX-A14; 7-A-S1; 7-A-S2; 7-A-S3; 7-A-S4; 23; 24; 24-B; 50-A; 58-A/82; 245-A-1; 245-A-2; 256-A; 273-199; 301-A; 310-A-EX-A2; 352-A; 356-A; 398; 7-71-2; 7-92; 7-99-B; 273/199; 329-00-A; 329-01-A;329-05-A; 326; 325; 300",3867362.46518,Southern PPD,96671895004.0263,1322192.5165382,15650668602.9094
4,Grand Island,"7-71; 7-92; 7-A-S2; 51-06-A; 51-06-EX-A; 51-02-A; 51-02-A-1-GENERAL; 51-02-A-AREA 1; 51-02-A-AREA-2; 51-02-B; 51-02-B-2; 51-A; 51-97; 51-97-2; 51-97-B; 90-69; 90-A; 47; 47-69",52501.37132997,Grand Island,2286959735.13348,122550.335737856,372835733.89838
5,Atlanta(Southern PPD),7-99-A-ATLANTA-EX-A12,1173.72843949,Atlanta(Southern PPD),51127610.8242305,12130.4292728809,8194757.39392597
6,Aurora(NPPD),7-A-S2,7982.07623778,Aurora(NPPD),189759173.373438,23506.7899523881,30871635.1739523
7,Butler PPD,"11; 14; 16; 16-91-A; 26; 31-A; 31-99-A; 94; 206-A; 358-A; 398; 39-A",534397.50944,Butler PPD,23199112712.9616,366898.878442138,3829572007.68058
8,Howard - Greeley Rural,"10; 21; 15; 7-A-S1; 7-A-S2; 24; 380-1977; 380-99-A; 398; 24-B",577581.87361502,Howard - Greeley Rural,25159466414.6702,335224.70655095,4150953120.33051
9,Dawson PPD,"25-A; 57-99-A; 57-310-81-2; 310-A-3; 59-B-2; 59-B-1; 93-A, 100-A; 100-17-A; 108-A; 125-A-1; 125-A-2; 125-A-3; 154-A; 153-A; 245-A-1; 245-A-2; 310-A-EX-A1; 310-A-EX-A2; 310-A-EX-A3; 41-B; 57-310-81; 57-310-74",3835359.41533,Dawson PPD,95110550664.402,1184119.129366,15521156721.0249
10,Niobrara Valley Electric Membership Corp.,"5; 22-A-EX-A1; 22-A-EX-A2; 22-A-EX-A3; 44-A; 379-B; 380-1977; 380-99-A; 390-00-A; 390-00-B; 22-A-1; 45-B; 91-74",1768336.82663,Niobrara Valley Electric Membership Corp.,77025217202.1409,735891.395167286,13197010315.0498
11,Polk Co. Rural PPD,"11; 14; 16; 16-91-A; 26; 31-99-A; 38-02-EX-A3; 38-02-EX-A4; 38-00-B-3; 38-00-B-4; 38-00-A; 38-A; 38-74; 50-A; 39-A; 40; 398",343268.75558193,Polk Co. Rural PPD,14952786993.1489,279499.567156281,2457855575.27543
12,McCook (NPPD),"27; 27-01-A; 43-1",8227.69923677,McCook (NPPD),361017527.862582,38533.3196591205,57565667.6979675
13,Cornhusker PPD,"1; 3; 9-1; 9-2; 10; 15; 28; 31-99-A; 34; 252-A-1; 252-A-3; 316-A; 380-1977; 380-99-A; 398; 8; 11; 16; 23; 252-1975; 252-1975-2; 252-1980; 252-1982-EX-A",2503880.75442,Cornhusker PPD,60755684656.4645,1004350.83585687,10132851208.402
14,Perennial PPD,"33; 6-00-A; 39-A; 40-00-A; 270-A; 304-ORIG; 304-1988; 304-99-A; 304-00-A; 351-A; 40; 58-A; 304-02-A; 304-09-A-2",713380.60528,Perennial PPD,31071608546.7164,440347.017050636,5029697670.72303
15,Twin Valleys PPD,"35; 35-99-A; 35-99-A-EX-A6; 41-B; 100-A; 256-A; 301-A; 310-A-EX-A2; 41-B-2; 273/199; 302-A",1229002.71859,Twin Valleys PPD,53680877762.0653,636901.623635358,8546248181.88476
